"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","ppt_gender","url","key_press","sentence_type","verb","test_part","responses","question_order","left_part","right_part"
"305502.99999999977","","","survey-likert-extra-labels","107","3688044","0.0-40.0-2.0","15044","1B","woman","","","M4 is marrying M2","marry2","rating_volition","{""Q0"":3}","[0]","M2 wanted to marry M4","M4 wanted to marry M2"
"7970","","","survey-likert-extra-labels","108","3696023","0.0-40.0-3.0-0.0","15044","1B","woman","","","M4 is marrying M2","marry2","rating_causation","{""Q0"":3}","[0]","M2 asked to marry M4","M4 asked to marry M2"
"null","Jane is kissing Luke","","html-keyboard-response","109","3698031","0.0-41.0-0.0","15044","1B","woman","","null","W4 is kissing M2","kiss3","sentence","","","",""
"7858.000000000233","","","survey-likert-extra-labels","110","3705894","0.0-41.0-1.0-0.0","15044","1B","woman","","","W4 is kissing M2","kiss3","rating_causation","{""Q0"":4}","[0]","M2 asked to kiss W4","W4 asked to kiss M2"
"4412","","","survey-likert-extra-labels","111","3710311","0.0-41.0-2.0","15044","1B","woman","","","W4 is kissing M2","kiss3","rating_volition","{""Q0"":5}","[0]","M2 wanted to kiss W4","W4 wanted to kiss M2"
"null","Kate is dancing with Beth","","html-keyboard-response","112","3712316","0.0-42.0-0.0","15044","1B","woman","","null","W1 is dancing with W3","dance1","sentence","","","",""
"4908","","","survey-likert-extra-labels","113","3717242","0.0-42.0-2.0","15044","1B","woman","","","W1 is dancing with W3","dance1","rating_volition","{""Q0"":3}","[0]","W1 wanted to dance with W3","W3 wanted to dance with W1"
"3709","","","survey-likert-extra-labels","114","3720957","0.0-42.0-3.0-0.0","15044","1B","woman","","","W1 is dancing with W3","dance1","rating_causation","{""Q0"":3}","[0]","W1 asked W3 to dance","W3 asked W1 to dance"
"null","Fred is talking to Dave","","html-keyboard-response","115","3722962","0.0-43.0-0.0","15044","1B","woman","","null","M1 is talking to M3","talk2","sentence","","","",""
"12506","","","survey-likert-extra-labels","116","3735474","0.0-43.0-2.0","15044","1B","woman","","","M1 is talking to M3","talk2","rating_volition","{""Q0"":2}","[0]","M1 wanted to talk to M3","M3 wanted to talk to M1"
"7244","","","survey-likert-extra-labels","117","3742725","0.0-43.0-3.0-0.0","15044","1B","woman","","","M1 is talking to M3","talk2","rating_causation","{""Q0"":3}","[0]","M1 started a conversation with M3","M3 started a conversation with M1"
"null","Ruth is dancing with Mike","","html-keyboard-response","118","3744730","0.0-44.0-0.0","15044","1B","woman","","null","W2 is dancing with M4","dance3","sentence","","","",""
"6598","","","survey-likert-extra-labels","119","3751335","0.0-44.0-2.0","15044","1B","woman","","","W2 is dancing with M4","dance3","rating_volition","{""Q0"":3}","[0]","W2 wanted to dance with M4","M4 wanted to dance with W2"
"5050","","","survey-likert-extra-labels","120","3756391","0.0-44.0-3.0-0.0","15044","1B","woman","","","W2 is dancing with M4","dance3","rating_causation","{""Q0"":3}","[0]","W2 asked M4 to dance","M4 asked W2 to dance"
"null","Luke is shouting at Jane","","html-keyboard-response","121","3758395","0.0-45.0-0.0","15044","1B","woman","","null","M2 is shouting at W4","shout3","sentence","","","",""
"10773.000000000233","","","survey-likert-extra-labels","122","3769175","0.0-45.0-1.0-0.0","15044","1B","woman","","","M2 is shouting at W4","shout3","rating_causation","{""Q0"":3}","[0]","M2 shouted at W4 first","W4 shouted at M2 first"
"8076","","","survey-likert-extra-labels","123","3777259","0.0-45.0-2.0","15044","1B","woman","","","M2 is shouting at W4","shout3","rating_volition","{""Q0"":2}","[0]","M2 wanted to shout at W4","W4 wanted to shout at M2"
"null","Luke is touching Mike","","html-keyboard-response","124","3779264","0.0-46.0-0.0","15044","1B","woman","","null","M2 is touching M4","touch2","sentence","","","",""
"5672","","","survey-likert-extra-labels","125","3784945","0.0-46.0-1.0-0.0","15044","1B","woman","","","M2 is touching M4","touch2","rating_causation","{""Q0"":2}","[0]","M2 asked to touch M4","M4 asked to touch M2"
"4596","","","survey-likert-extra-labels","126","3789546","0.0-46.0-2.0","15044","1B","woman","","","M2 is touching M4","touch2","rating_volition","{""Q0"":1}","[0]","M2 wanted to touch M4","M4 wanted to touch M2"
"null","Beth is kissing Kate","","html-keyboard-response","127","3791550","0.0-47.0-0.0","15044","1B","woman","","null","W3 is kissing W1","kiss1","sentence","","","",""
"9268","","","survey-likert-extra-labels","128","3800829","0.0-47.0-2.0","15044","1B","woman","","","W3 is kissing W1","kiss1","rating_volition","{""Q0"":4}","[0]","W1 wanted to kiss W3","W3 wanted to kiss W1"
"3858.000000000233","","","survey-likert-extra-labels","129","3804692","0.0-47.0-3.0-0.0","15044","1B","woman","","","W3 is kissing W1","kiss1","rating_causation","{""Q0"":4}","[0]","W1 asked to kiss W3","W3 asked to kiss W1"
"null","Fred is marrying Beth","","html-keyboard-response","130","3806697","0.0-48.0-0.0","15044","1B","woman","","null","M1 is marrying W3","marry4","sentence","","","",""
"6159","","","survey-likert-extra-labels","131","3812863","0.0-48.0-2.0","15044","1B","woman","","","M1 is marrying W3","marry4","rating_volition","{""Q0"":3}","[0]","W3 wanted to marry M1","M1 wanted to marry W3"
"3930","","","survey-likert-extra-labels","132","3816797","0.0-48.0-3.0-0.0","15044","1B","woman","","","M1 is marrying W3","marry4","rating_causation","{""Q0"":4}","[0]","W3 asked to marry M1","M1 asked to marry W3"
"null","Jane is fighting with Ruth","","html-keyboard-response","133","3818802","0.0-49.0-0.0","15044","1B","woman","","null","W4 is fighting with W2","fight1","sentence","","","",""
"4038","","","survey-likert-extra-labels","134","3822849","0.0-49.0-1.0-0.0","15044","1B","woman","","","W4 is fighting with W2","fight1","rating_causation","{""Q0"":3}","[0]","W2 started the fight with W4","W4 started the fight with W2"
